Episode,Total_Reward,Cumulative_Reward,Epsilon,Learning_Rate,Gamma,Batch_Size,Epsilon_Decay,Steps_Per_Episode,ON_Percent,OFF_Percent
119,46.96402695371216,3783.750483315246,1.5463996697266818e-52,0.001,0.99,64,0.995,200,13.5,86.5
120,10.446719659638614,3794.1972029748836,5.6746345432096705e-53,0.001,0.99,64,0.995,200,19.5,80.5
121,40.44486909355447,3834.642072068442,2.0823515310682848e-53,0.001,0.99,64,0.995,200,24.5,75.5
122,49.30054268389838,3883.94261475234,7.641351819089669e-54,0.001,0.99,64,0.995,200,8.5,91.5
123,62.71999999999984,3946.662614752362,2.804053818576427e-54,0.001,0.99,64,0.995,200,17.5,82.5
124,17.695122721670153,3964.357737474032,1.0289694812677464e-54,0.001,0.99,64,0.995,200,21.5,78.5
125,34.59263871862606,3998.9503761926553,3.775883994687164e-55,0.001,0.99,64,0.995,200,20.5,79.5
126,52.795623957419856,4051.746000150079,1.3855901657810995e-55,0.001,0.99,64,0.995,200,8.5,91.5
127,45.379938481624976,4097.125938631706,5.084531490402313e-56,0.001,0.99,64,0.995,200,7.5,92.5
128,35.89070879511405,4133.016647426817,1.8658086002161338e-56,0.001,0.99,64,0.995,200,20.5,79.5
129,23.54483205556197,4156.561479482384,6.846730596932607e-57,0.001,0.99,64,0.995,200,18.5,81.5
130,40.486082760609676,4197.04756224299,2.512461345796287e-57,0.001,0.99,64,0.995,200,13.5,86.5
131,33.72410286650327,4230.771665109494,9.219673426245989e-58,0.001,0.99,64,0.995,200,24.5,75.5
132,34.35684334081274,4265.128508450303,3.383231277521858e-58,0.001,0.99,64,0.995,200,22.5,77.5
133,48.85436059485564,4313.982869045159,1.2415031799952575e-58,0.001,0.99,64,0.995,200,13.0,87.0
134,58.39999999999986,4372.3828690451255,4.555793025971692e-59,0.001,0.99,64,0.995,200,20.5,79.5
135,-24.92892574077378,4347.453943304346,1.6717838850458344e-59,0.001,0.99,64,0.995,200,17.5,82.5
136,56.55377274306225,4404.007716047399,6.134741728533281e-60,0.001,0.99,64,0.995,200,9.5,90.5
137,38.90699876908281,4442.914714816484,2.2511914615551932e-60,0.001,0.99,64,0.995,200,20.5,79.5
138,27.527200883684703,4470.441915700165,8.2609231502084e-61,0.001,0.99,64,0.995,200,19.0,81.0
139,33.80115037478665,4504.243066074957,3.031410364647739e-61,0.001,0.99,64,0.995,200,16.5,83.5
140,48.27491330014928,4552.517979375113,1.1123997441692605e-61,0.001,0.99,64,0.995,200,24.0,76.0
141,-8.13714138380416,4544.380837991309,4.082037870090971e-62,0.001,0.99,64,0.995,200,25.5,74.5
142,33.574919162466244,4577.955757153769,1.4979357250123048e-62,0.001,0.99,64,0.995,200,18.0,82.0
143,43.70452127673616,4621.660278430508,5.496792307363216e-63,0.001,0.99,64,0.995,200,12.5,87.5
144,-3.4226683236303437,4618.237610106875,2.017090931591157e-63,0.001,0.99,64,0.995,200,17.5,82.5
145,60.45446616250315,4678.692076269383,7.401872944802952e-64,0.001,0.99,64,0.995,200,11.0,89.0
146,29.820410189757435,4708.512486459144,2.7161751725187424e-64,0.001,0.99,64,0.995,200,14.499999999999998,85.5
147,29.905888989664366,4738.418375448809,9.967217247341729e-65,0.001,0.99,64,0.995,200,17.0,83.0
148,53.79579089817335,4792.214166346987,3.6575483297560056e-65,0.001,0.99,64,0.995,200,9.0,91.0
149,79.83999999999986,4872.054166346933,1.342165967945444e-65,0.001,0.99,64,0.995,200,8.5,91.5
150,39.208956291841275,4911.263122638775,4.925182999922525e-66,0.001,0.99,64,0.995,200,24.5,75.5
151,38.8365331000967,4950.099655738877,1.8073344252543182e-66,0.001,0.99,64,0.995,200,12.5,87.5
152,33.35586806321176,4983.4555238020885,6.632155038220386e-67,0.001,0.99,64,0.995,200,20.0,80.0
153,38.48750326272288,5021.943027064812,2.4337211661755806e-67,0.001,0.99,64,0.995,200,13.0,87.0
154,76.07999999999983,5098.023027064763,8.930730178286586e-68,0.001,0.99,64,0.995,200,10.5,89.5
155,61.279999999999845,5159.303027064727,3.277201292648191e-68,0.001,0.99,64,0.995,200,18.5,81.5
156,18.23292922026739,5177.535956284999,1.2025946477083597e-68,0.001,0.99,64,0.995,200,17.0,83.0
157,1.5459528002498866,5179.081909085252,4.413015123426065e-69,0.001,0.99,64,0.995,200,16.0,84.0
158,32.898102782571684,5211.980011867823,1.6193904169370598e-69,0.001,0.99,64,0.995,200,18.0,82.0
159,12.251407958951626,5224.231419826774,5.942479799234526e-70,0.001,0.99,64,0.995,200,19.5,80.5
160,48.88017858057303,5273.111598407342,2.1806394427788524e-70,0.001,0.99,64,0.995,200,21.5,78.5
161,32.568938880920555,5305.68053728826,8.0020269989229e-71,0.001,0.99,64,0.995,200,18.0,82.0
162,64.78978264895247,5370.4703199371925,2.9364063969187257e-71,0.001,0.99,64,0.995,200,9.0,91.0
163,47.72470775237566,5418.195027689559,1.0775372951160792e-71,0.001,0.99,64,0.995,200,15.0,85.0
164,57.27999999999985,5475.475027689534,3.9541073864450275e-72,0.001,0.99,64,0.995,200,26.5,73.5
165,30.432274174204803,5505.907301863742,1.4509906334012147e-72,0.001,0.99,64,0.995,200,21.5,78.5
166,11.012028093595175,5516.919329957341,5.324523621779813e-73,0.001,0.99,64,0.995,200,22.5,77.5
167,75.27999999999984,5592.1993299572905,1.953875589977841e-73,0.001,0.99,64,0.995,200,10.5,89.5
168,54.93143857587024,5647.13076853316,7.169899304221989e-74,0.001,0.99,64,0.995,200,8.0,92.0
169,59.83999999999985,5706.970768533126,2.631050630673259e-74,0.001,0.99,64,0.995,200,19.5,80.5
170,61.999999999999844,5768.9707685330895,9.654846082831168e-75,0.001,0.99,64,0.995,200,18.0,82.0
171,69.59999999999982,5838.5707685330435,3.5429212876571396e-75,0.001,0.99,64,0.995,200,12.0,88.0
172,56.90806258745105,5895.478831120483,1.3001026782659308e-75,0.001,0.99,64,0.995,200,10.5,89.5
173,59.11999999999985,5954.598831120452,4.7708284683682235e-76,0.001,0.99,64,0.995,200,22.0,78.0
174,48.24389819123908,6002.842729311687,1.7506928225815878e-76,0.001,0.99,64,0.995,200,22.0,78.0
175,53.47098433395614,6056.313713645646,6.424304246861749e-77,0.001,0.99,64,0.995,200,7.5,92.5
176,14.274391245939555,6070.588104891583,2.357448692534549e-77,0.001,0.99,64,0.995,200,22.0,78.0
177,8.664631633401264,6079.25273652499,8.650842370436788e-78,0.001,0.99,64,0.995,200,22.5,77.5
178,29.257300874533875,6108.510037399526,3.174494272351915e-78,0.001,0.99,64,0.995,200,15.5,84.5
179,33.984760949982046,6142.49479834951,1.164905503264453e-78,0.001,0.99,64,0.995,200,20.0,80.0
180,58.32797777014907,6200.822776119638,4.2747118599474815e-79,0.001,0.99,64,0.995,200,22.0,78.0
181,60.54457741158006,6261.367353531188,1.5686389526333404e-79,0.001,0.99,64,0.995,200,11.0,89.0
182,51.77983630008929,6313.147189831275,5.75624333133146e-80,0.001,0.99,64,0.995,200,10.5,89.5
183,28.429070231077183,6341.5762600623575,2.112298514191166e-80,0.001,0.99,64,0.995,200,17.0,83.0
184,62.39999999999984,6403.976260062324,7.751244616030095e-81,0.001,0.99,64,0.995,200,20.5,79.5
185,65.85750602194847,6469.833766084239,2.844379839965082e-81,0.001,0.99,64,0.995,200,14.000000000000002,86.0
186,38.56905179070527,6508.402817874946,1.0437674302354088e-81,0.001,0.99,64,0.995,200,11.5,88.5
187,31.809957954201302,6540.212775829148,3.830186225879048e-82,0.001,0.99,64,0.995,200,18.0,82.0
188,24.80991701196401,6565.022692841114,1.405516794254144e-82,0.001,0.99,64,0.995,200,15.5,84.5
189,36.36784354916522,6601.390536390282,5.157653812190461e-83,0.001,0.99,64,0.995,200,22.0,78.0
190,49.63961445876833,6651.030150849053,1.8926414081390702e-83,0.001,0.99,64,0.995,200,11.0,89.0
191,40.30287404943147,6691.333024898482,6.945195684394588e-84,0.001,0.99,64,0.995,200,21.5,78.5
192,55.75485421244342,6747.087879110935,2.548593879807409e-84,0.001,0.99,64,0.995,200,9.5,90.5
193,44.095002920816476,6791.182882031753,9.352264585987675e-85,0.001,0.99,64,0.995,200,22.5,77.5
194,23.185472821020095,6814.368354852774,3.4318866406808145e-85,0.001,0.99,64,0.995,200,20.5,79.5
195,31.735517795082337,6846.103872647857,1.2593576460753642e-85,0.001,0.99,64,0.995,200,25.0,75.0
196,22.0152917681043,6868.119164415958,4.621311385780089e-86,0.001,0.99,64,0.995,200,19.5,80.5
197,54.605112636076456,6922.724277052036,1.6958263596441933e-86,0.001,0.99,64,0.995,200,12.0,88.0
198,35.9454552717562,6958.669732323791,6.222967469608483e-87,0.001,0.99,64,0.995,200,27.0,73.0
199,63.439999999999834,7022.109732323754,2.283566587320325e-87,0.001,0.99,64,0.995,200,17.0,83.0
200,-3.0320328925778277,7019.077699431174,8.379726206497237e-88,0.001,0.99,64,0.995,200,21.0,79.0
201,56.759999999999856,7075.83769943114,3.075006075397903e-88,0.001,0.99,64,0.995,200,20.0,80.0
202,59.66676088676052,7135.5044603178685,1.1283975312227432e-88,0.001,0.99,64,0.995,200,19.0,81.0
203,33.597311100441175,7169.1017714183035,4.140743000986823e-89,0.001,0.99,64,0.995,200,27.0,73.0
204,67.27999999999983,7236.381771418262,1.5194780319699954e-89,0.001,0.99,64,0.995,200,14.499999999999998,85.5
205,49.982354224016845,7286.364125642276,5.5758434877247285e-90,0.001,0.99,64,0.995,200,13.0,87.0
206,46.44670386225177,7332.810829504514,2.0460993805414983e-90,0.001,0.99,64,0.995,200,22.5,77.5
207,46.18544056740563,7378.996270071919,7.508321717187685e-91,0.001,0.99,64,0.995,200,13.5,86.5
208,22.636845735425098,7401.63311580735,2.7552373821584684e-91,0.001,0.99,64,0.995,200,25.0,75.0
209,27.124611745862595,7428.757727553216,1.0110559080953788e-91,0.001,0.99,64,0.995,200,27.500000000000004,72.5
210,60.559999999999846,7489.317727553181,3.710148736780521e-92,0.001,0.99,64,0.995,200,19.0,81.0
211,38.14009232298907,7527.457819876174,1.3614680987290704e-92,0.001,0.99,64,0.995,200,12.0,88.0
212,52.377288844051996,7579.8351087202345,4.99601367859286e-93,0.001,0.99,64,0.995,200,11.5,88.5
213,15.316082477577398,7595.151191197812,1.833326296810571e-93,0.001,0.99,64,0.995,200,13.5,86.5
214,30.26135111368486,7625.412542311495,6.727534243909079e-94,0.001,0.99,64,0.995,200,16.5,83.5
215,39.46971160571171,7664.882253917204,2.4687213117330685e-94,0.001,0.99,64,0.995,200,23.5,76.5
216,-7.5713420169809025,7657.31091190022,9.05916595002534e-95,0.001,0.99,64,0.995,200,22.0,78.0
217,22.104650804679608,7679.415562704901,3.324331803677162e-95,0.001,0.99,64,0.995,200,23.0,77.0
218,36.84562772979873,7716.2611904346995,1.219889557372391e-95,0.001,0.99,64,0.995,200,20.0,80.0
219,38.76789226358548,7755.029082698285,4.476480147198707e-96,0.001,0.99,64,0.995,200,12.5,87.5
220,62.359999999999836,7817.389082698256,1.6426794038164692e-96,0.001,0.99,64,0.995,200,24.0,76.0
221,81.99999999999984,7899.3890826982015,6.027940558189306e-97,0.001,0.99,64,0.995,200,8.0,92.0
222,56.270598563522576,7955.659681261718,2.211999936727963e-97,0.001,0.99,64,0.995,200,26.5,73.5
223,60.6346450861306,8016.294326347841,8.117106784401129e-98,0.001,0.99,64,0.995,200,10.0,90.0
224,64.25638136731357,8080.550707715133,2.978635824322532e-98,0.001,0.99,64,0.995,200,12.0,88.0
225,28.780087191249482,8109.330794906388,1.0930337138089228e-98,0.001,0.99,64,0.995,200,24.0,76.0
226,57.507594721313744,8166.838389627674,4.0109727069258514e-99,0.001,0.99,64,0.995,200,22.0,78.0
227,56.33917501305601,8223.177564640717,1.4718578075366182e-99,0.001,0.99,64,0.995,200,11.0,89.0
228,-9.605364251886849,8213.572200388826,5.401097349442892e-100,0.001,0.99,64,0.995,200,23.0,77.0
229,77.87999999999985,8291.452200388774,1.9819749182825384e-100,0.001,0.99,64,0.995,200,9.5,90.5
230,29.377736585400882,8320.829936974185,7.273011987288581e-101,0.001,0.99,64,0.995,200,26.5,73.5
231,71.67999999999982,8392.50993697414,2.6688886362437193e-101,0.001,0.99,64,0.995,200,12.5,87.5
232,59.83999999999985,8452.349936974106,9.793695603857165e-102,0.001,0.99,64,0.995,200,19.5,80.5
233,31.48724087068229,8483.83717784478,3.593873205440561e-102,0.001,0.99,64,0.995,200,21.5,78.5
234,12.660900324639396,8496.498078169418,1.3187998830285058e-102,0.001,0.99,64,0.995,200,15.5,84.5
235,28.28420683149273,8524.782285000905,4.839439323688643e-103,0.001,0.99,64,0.995,200,21.5,78.5
236,35.81282785582565,8560.595112856727,1.7758701125967409e-103,0.001,0.99,64,0.995,200,13.0,87.0
237,64.91999999999983,8625.5151128567,6.516694281871036e-104,0.001,0.99,64,0.995,200,25.0,75.0
238,73.76015663214861,8699.275269488802,2.391351938530766e-104,0.001,0.99,64,0.995,200,10.0,90.0
239,61.63999999999984,8760.915269488774,8.775252983438973e-105,0.001,0.99,64,0.995,200,24.5,75.5
240,48.56835780598245,8809.483627294756,3.220147719898815e-105,0.001,0.99,64,0.995,200,21.5,78.5
241,33.237062845894776,8842.720690140659,1.1816583929305527e-105,0.001,0.99,64,0.995,200,14.000000000000002,86.0
242,35.13311705671172,8877.85380719737,4.3361878989423896e-106,0.001,0.99,64,0.995,200,22.5,77.5
243,52.40163693775487,8930.25544413513,1.591198065991263e-106,0.001,0.99,64,0.995,200,10.5,89.5
244,32.23091638047253,8962.486360515599,5.839025762310442e-107,0.001,0.99,64,0.995,200,10.0,90.0
245,34.140948059600575,8996.627308575211,2.1426761747404128e-107,0.001,0.99,64,0.995,200,21.5,78.5
246,61.999999999999844,9058.627308575175,7.862717817472974e-108,0.001,0.99,64,0.995,200,18.0,82.0
247,28.990417193756976,9087.61772576893,2.885285803147405e-108,0.001,0.99,64,0.995,200,17.0,83.0
248,-10.289280186911183,9077.328445582021,1.0587781933804076e-108,0.001,0.99,64,0.995,200,23.5,76.5
249,23.53286006928132,9100.861305651297,3.885269395340404e-109,0.001,0.99,64,0.995,200,22.0,78.0
250,62.799999999999834,9163.661305651267,1.4257299941334579e-109,0.001,0.99,64,0.995,200,23.0,77.0
251,36.11164476322487,9199.772950414483,5.2318277301687486e-110,0.001,0.99,64,0.995,200,24.5,75.5
252,33.812393144302064,9233.585343558789,1.9198601075092834e-110,0.001,0.99,64,0.995,200,9.5,90.5
253,32.57070322479,9266.156046783573,7.045076830705722e-111,0.001,0.99,64,0.995,200,17.5,82.5
254,45.54341980887435,9311.699466592445,2.5852460476892604e-111,0.001,0.99,64,0.995,200,25.5,74.5
